id,controlled_substance,food_interaction,alcohol_interaction,num_ingredients,is_combination_drug,pregnancy_category_encoded,otc_or_rx_encoded,drug_type_encoded,therapeutic_group_Analgesic,therapeutic_group_Antacid,therapeutic_group_Antibiotic,therapeutic_group_Antidepressant,therapeutic_group_Antidiabetic,therapeutic_group_Antihistamine,therapeutic_group_Antihypertensive,therapeutic_group_Bronchodilator,therapeutic_group_Lipid-lowering,dosage_form_Capsule,dosage_form_Inhaler,dosage_form_Injection,dosage_form_Syrup,dosage_form_Tablet,route_IV,route_Inhalation,route_Oral,route_Subcutaneous,indication_category_Cardiovascular,indication_category_Endocrine,indication_category_Gastrointestinal,indication_category_General,indication_category_Infectious,indication_category_Neurological,indication_category_Respiratory,manufacturer_ACI,manufacturer_AstraZeneca,manufacturer_Bayer,manufacturer_Beximco,manufacturer_Eli Lilly,manufacturer_GSK,manufacturer_Incepta,manufacturer_MSD,manufacturer_Merck,manufacturer_Novartis,manufacturer_Novo Nordisk,manufacturer_Pfizer,manufacturer_Renata,manufacturer_Sanofi,manufacturer_Square
1,No,0,0,2,1,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2,No,1,0,1,0,2,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,No,0,0,1,0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,No,0,0,1,0,2,1,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5,No,0,1,1,0,3,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,No,1,1,1,0,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,No,1,0,1,0,2,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8,No,1,0,1,0,2,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9,No,0,1,1,0,2,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
10,No,0,1,1,0,3,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,No,1,1,1,0,3,0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
12,No,0,0,1,0,2,1,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,No,0,0,2,1,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
14,No,1,1,1,0,4,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
15,No,0,1,1,0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16,No,0,1,1,0,3,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17,No,1,1,1,0,4,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18,No,0,0,1,0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
19,No,0,1,1,0,3,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20,No,0,0,1,0,1,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
